Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  ,Group,State,,,,,,,,,,,,,,,,,
Conradina verticillata,Cumberland rosemary,Wherever found,4,Threatened,Flowering Plants,Tennessee,,,,,,,,,,,,,,,,,
Geum radiatum,Spreading avens,Wherever found,4,Endangered,Flowering Plants,Tennessee,,,,,,,,,,,,,,,,,
Isotria medeoloides,Small whorled pogonia,,5,Threatened,Flowering Plants,Tennessee,,,,,,,,,,,,,,,,,
Dalea foliosa,Leafy prairie-clover,,3,Endangered,Flowering Plants,Tennessee,,,,,,,,,,,,,,,,,
Hedyotis purpurea var. montana,Roan Mountain bluet,Wherever found,4,Endangered,Flowering Plants,Tennessee,,,,,,,,,,,,,,,,,
Lindera melissifolia,Pondberry,Wherever found,4,Endangered,Flowering Plants,Tennessee,,,,,,,,,,,,,,,,,
Scutellaria montana,Large-flowered skullcap,Wherever found,4,Threatened,Flowering Plants,Tennessee,,,,,,,,,,,,,,,,,
Solidago spithamaea,Blue Ridge goldenrod,Wherever found,4,Threatened,Flowering Plants,Tennessee,,,,,,,,,,,,,,,,,
Xyris tennesseensis,Tennessee yellow-eyed grass,Wherever found,4,Endangered,Flowering Plants,Tennessee,,,,,,,,,,,,,,,,,
Pityopsis ruthii,Ruth's golden aster,Wherever found,4,Endangered,Flowering Plants,Tennessee,,,,,,,,,,,,,,,,,
Spiraea virginiana,Virginia spiraea,Wherever found,5,Threatened,Flowering Plants,Tennessee,,,,,,,,,,,,,,,,,
Astragalus bibullatus,Guthrie's (=Pyne's) ground-plum,Wherever found,4,Endangered,Flowering Plants,Tennessee,,,,,,,,,,,,,,,,,
Clematis morefieldii,Morefield''s leather flower,,4,Endangered,Flowering Plants,Tennessee,,,,,,,,,,,,,,,,,
Asplenium scolopendrium var. americanum,American hart's-tongue fern,Wherever found,5,Threatened,Ferns and Allies,Tennessee,,,,,,,,,,,,,,,,,
Gymnoderma lineare,Rock gnome lichen,Wherever found,4,Endangered,Lichens,Tennessee,,,,,,,,,,,,,,,,,
Platanthera integrilabia,White fringeless orchid,,4,Threatened,Flowering Plants,Tennessee,,,,,,,,,,,,,,,,,
Ptychobranchus subtentus,Fluted kidneyshell,Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Physaria globosa,Short's bladderpod,Wherever found,4,Endangered,Flowering Plants,Tennessee,,,,,,,,,,,,,,,,,
Helianthus verticillatus,Whorled Sunflower,,4,Endangered,Flowering Plants,Tennessee,,,,,,,,,,,,,,,,,
Erimonax monachus,Spotfin Chub,U.S.A. (TN-specified portions of the Tellico River; see 17.84(m)(1)(i)),4,"Experimental Population, Non-Essential",Fishes,Tennessee,,,,,,,,,,,,,,,,,
Noturus flavipinnis,Yellowfin madtom,U.S.A. (TN-specified portions of the Tellico River; see 17.84(e)(1)(ii)),4,"Experimental Population, Non-Essential",Fishes,Tennessee,,,,,,,,,,,,,,,,,
Etheostoma trisella,Trispot darter,Wherever found,4,Threatened,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Quadrula cylindrica cylindrica,Rabbitsfoot,Wherever found,4,Threatened,Clams,Tennessee,,,,,,,,,,,,,,,,,
Pleurobema hanleyianum,Georgia pigtoe,Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Fundulus julisia,Barrens topminnow,Wherever found,4,Endangered,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Cumberlandia monodonta,Spectaclecase (mussel),Wherever found,3,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Epioblasma triquetra,Snuffbox mussel,Wherever found,3,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Etheostoma susanae,Cumberland darter,Wherever found,4,Endangered,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Glyptemys muhlenbergii,bog turtle,"U.S.A. (GA, NC, SC, TN, VA)",4,Similarity of Appearance (Threatened),Reptiles,Tennessee,,,,,,,,,,,,,,,,,
Noturus baileyi,Smoky madtom,"Tellico River, TN",4,"Experimental Population, Non-Essential",Fishes,Tennessee,,,,,,,,,,,,,,,,,
Villosa fabalis,Rayed Bean,Wherever found,3,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Etheostoma percnurum,Duskytail darter,"Tellico River, TN",4,"Experimental Population, Non-Essential",Fishes,Tennessee,,,,,,,,,,,,,,,,,
Pleuronaia dolabelloides,Slabside Pearlymussel,Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Noturus crypticus,Chucky Madtom,Wherever found,4,Endangered,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Grus americana,Whooping crane,"U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY)",2,"Experimental Population, Non-Essential",Birds,Tennessee,,,,,,,,,,,,,,,,,
Plethobasus cyphyus,Sheepnose Mussel,Wherever found,3,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,Tennessee,,,,,,,,,,,,,,,,,
Etheostoma wapiti,Boulder darter,Shoal Creek,4,"Experimental Population, Non-Essential",Fishes,Tennessee,,,,,,,,,,,,,,,,,
Erimonax monachus,Spotfin Chub,"U.S.A. (AL, TN-specified portions of Shoal Creek; see 17.84(m)(1)(ii))",4,"Experimental Population, Non-Essential",Fishes,Tennessee,,,,,,,,,,,,,,,,,
Chrosomus saylori,Laurel dace,Wherever found,4,Endangered,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Theliderma sparsa,Appalachian monkeyface (pearlymussel),USA (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,Tennessee,,,,,,,,,,,,,,,,,
Lemiox rimosus,Birdwing pearlymussel,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,Tennessee,,,,,,,,,,,,,,,,,
Hemistena lata,Cracking pearlymussel,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,Tennessee,,,,,,,,,,,,,,,,,
Villosa trabalis,Cumberland bean (pearlymussel),U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,Tennessee,,,,,,,,,,,,,,,,,
Epioblasma brevidens,Cumberlandian combshell,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,Tennessee,,,,,,,,,,,,,,,,,
Theliderma intermedia,Cumberland monkeyface (pearlymussel),U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,Tennessee,,,,,,,,,,,,,,,,,
Dromus dromas,Dromedary pearlymussel,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,Tennessee,,,,,,,,,,,,,,,,,
Cyprogenia stegaria,Fanshell,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,Tennessee,,,,,,,,,,,,,,,,,
Fusconaia cuneolus,Finerayed pigtoe,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,Tennessee,,,,,,,,,,,,,,,,,
Plethobasus cooperianus,Orangefoot pimpleback (pearlymussel),U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,Tennessee,,,,,,,,,,,,,,,,,
Epioblasma capsaeformis,Oyster mussel,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,Tennessee,,,,,,,,,,,,,,,,,
Obovaria retusa,Ring pink (mussel),U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,Tennessee,,,,,,,,,,,,,,,,,
Pleurobema plenum,Rough pigtoe,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,Tennessee,,,,,,,,,,,,,,,,,
Fusconaia cor,Shiny pigtoe,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,Tennessee,,,,,,,,,,,,,,,,,
Plethobasus cicatricosus,White wartyback (pearlymussel),U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,Tennessee,,,,,,,,,,,,,,,,,
Etheostoma percnurum,Duskytail darter,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(q)(1)(ii)),4,"Experimental Population, Non-Essential",Fishes,Tennessee,,,,,,,,,,,,,,,,,
Noturus stanauli,Pygmy madtom,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(t)(1)(i)),4,"Experimental Population, Non-Essential",Fishes,Tennessee,,,,,,,,,,,,,,,,,
Erimystax cahni,Slender chub,U.S.A. (TN - specified portions of the French Broad and Holston  Rivers; see 17.84(s)(1)(i)),4,"Experimental Population, Non-Essential",Fishes,Tennessee,,,,,,,,,,,,,,,,,
Erimonax monachus,Spotfin Chub,U.S.A. (TN-specified portions of the French Broad and Holston Rivers; see 17.84(m)(1)(iii)),4,"Experimental Population, Non-Essential",Fishes,Tennessee,,,,,,,,,,,,,,,,,
Noturus flavipinnis,Yellowfin madtom,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(e)(1)(iii)),4,"Experimental Population, Non-Essential",Fishes,Tennessee,,,,,,,,,,,,,,,,,
Athearnia anthonyi,Anthony's riversnail,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Snails,Tennessee,,,,,,,,,,,,,,,,,
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,Tennessee,,,,,,,,,,,,,,,,,
Percina williamsi,Sickle darter,Wherever found,4,Threatened,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Obovaria subrotunda,Round hickorynut,Wherever found,3,Threatened,Clams,Tennessee,,,,,,,,,,,,,,,,,
Fusconaia subrotunda,Longsolid,Wherever found,4,Threatened,Clams,Tennessee,,,,,,,,,,,,,,,,,
Laterallus jamaicensis ssp. jamaicensis,Eastern Black rail,Wherever found,4,Threatened,Birds,Tennessee,,,,,,,,,,,,,,,,,
Noturus munitus,Frecklebelly madtom,Upper Coosa River DPS,4,Threatened,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Mustela nigripes,Black-footed ferret,"Wherever found, except where listed as an experimental population",6,Endangered,Mammals,South Dakota,,,,,,,,,,,,,,,,,
Grus americana,Whooping crane,"Wherever found, except where listed as an experimental population",2,Endangered,Birds,South Dakota,,,,,,,,,,,,,,,,,
Charadrius melodus,Piping Plover,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",5,Threatened,Birds,South Dakota,,,,,,,,,,,,,,,,,
Scaphirhynchus albus,Pallid sturgeon,Wherever found,6,Endangered,Fishes,South Dakota,,,,,,,,,,,,,,,,,
Notropis topeka (=tristis),Topeka shiner,"Wherever found, except where listed as an experimental population",6,Endangered,Fishes,South Dakota,,,,,,,,,,,,,,,,,
Lampsilis higginsii,Higgins eye (pearlymussel),Wherever found,3,Endangered,Clams,South Dakota,,,,,,,,,,,,,,,,,
Leptodea leptodon,Scaleshell mussel,Wherever found,3,Endangered,Clams,South Dakota,,,,,,,,,,,,,,,,,
Nicrophorus americanus,American burying beetle,"Wherever found, except where listed as an experimental population",2,Threatened,Insects,South Dakota,,,,,,,,,,,,,,,,,
Spiranthes diluvialis,Ute ladies'-tresses,Wherever found,6,Threatened,Flowering Plants,South Dakota,,,,,,,,,,,,,,,,,
Platanthera praeclara,Western prairie fringed Orchid,Wherever found,3,Threatened,Flowering Plants,South Dakota,,,,,,,,,,,,,,,,,
Rhodiola integrifolia ssp. leedyi,Leedy's roseroot,Wherever found,3,Threatened,Flowering Plants,South Dakota,,,,,,,,,,,,,,,,,
Hesperia dacotae,Dakota Skipper,Wherever found,3,Threatened,Insects,South Dakota,,,,,,,,,,,,,,,,,
Mustela nigripes,Black-footed ferret,"U.S.A. (WY and specified portions of AZ, CO, MT, SD, and UT, see 17.84(g)(9))",6,"Experimental Population, Non-Essential",Mammals,South Dakota,,,,,,,,,,,,,,,,,
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,South Dakota,,,,,,,,,,,,,,,,,
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,South Dakota,,,,,,,,,,,,,,,,,
Trichechus manatus,West Indian Manatee,Wherever found,4,Threatened,Mammals,South Carolina,,,,,,,,,,,,,,,,,
Picoides borealis,Red-cockaded woodpecker,Wherever found,4,Endangered,Birds,South Carolina,,,,,,,,,,,,,,,,,
Mycteria americana,Wood stork,"AL, FL, GA, MS, NC, SC",4,Threatened,Birds,South Carolina,,,,,,,,,,,,,,,,,
Charadrius melodus,Piping Plover,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",5,Threatened,Birds,South Carolina,,,,,,,,,,,,,,,,,
Sterna dougallii dougallii,Roseate tern,Northeast U.S. nesting population,5,Endangered,Birds,South Carolina,,,,,,,,,,,,,,,,,
Dermochelys coriacea,Leatherback sea turtle,Wherever found,4,Endangered,Reptiles,South Carolina,,,,,,,,,,,,,,,,,
Lepidochelys kempii,Kemp's ridley sea turtle,Wherever found,2,Endangered,Reptiles,South Carolina,,,,,,,,,,,,,,,,,
Ambystoma cingulatum,Frosted Flatwoods salamander,Wherever found,4,Threatened,Amphibians,South Carolina,,,,,,,,,,,,,,,,,
Alasmidonta raveneliana,Appalachian elktoe,Wherever found,4,Endangered,Clams,South Carolina,,,,,,,,,,,,,,,,,
Lasmigona decorata,Carolina heelsplitter,Wherever found,4,Endangered,Clams,South Carolina,,,,,,,,,,,,,,,,,
Amphianthus pusillus,Little amphianthus,Wherever found,4,Threatened,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Hexastylis naniflora,Dwarf-flowered heartleaf,Wherever found,4,Threatened,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Isotria medeoloides,Small whorled pogonia,,5,Threatened,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Ribes echinellum,Miccosukee gooseberry,,4,Threatened,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Sagittaria fasciculata,Bunched arrowhead,Wherever found,4,Endangered,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Trillium persistens,Persistent trillium,Wherever found,4,Endangered,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Echinacea laevigata,Smooth coneflower,Wherever found,4,Threatened,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Helianthus schweinitzii,Schweinitz's sunflower,Wherever found,4,Endangered,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Helonias bullata,Swamp pink,,5,Threatened,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Lindera melissifolia,Pondberry,Wherever found,4,Endangered,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Lysimachia asperulaefolia,Rough-leaved loosestrife,Wherever found,4,Endangered,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Oxypolis canbyi,Canby's dropwort,Wherever found,4,Endangered,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Ptilimnium nodosum,Harperella,Wherever found,5,Endangered,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Rhus michauxii,Michaux's sumac,Wherever found,4,Endangered,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Sarracenia rubra ssp. jonesii,Mountain sweet pitcher-plant,Wherever found,4,Endangered,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Schwalbea americana,American chaffseed,Wherever found,4,Endangered,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Amaranthus pumilus,Seabeach amaranth,Wherever found,4,Threatened,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Trillium reliquum,Relict trillium,Wherever found,4,Endangered,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Sisyrinchium dichotomum,White irisette,Wherever found,4,Endangered,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Carex lutea,Golden sedge,Wherever found,4,Endangered,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Gymnoderma lineare,Rock gnome lichen,Wherever found,4,Endangered,Lichens,South Carolina,,,,,,,,,,,,,,,,,
Platanthera integrilabia,White fringeless orchid,,4,Threatened,Flowering Plants,South Carolina,,,,,,,,,,,,,,,,,
Glyptemys muhlenbergii,bog turtle,"U.S.A. (GA, NC, SC, TN, VA)",4,Similarity of Appearance (Threatened),Reptiles,South Carolina,,,,,,,,,,,,,,,,,
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,South Carolina,,,,,,,,,,,,,,,,,
Caretta caretta,Loggerhead sea turtle,Northwest Atlantic Ocean DPS,4,Threatened,Reptiles,South Carolina,,,,,,,,,,,,,,,,,
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,South Carolina,,,,,,,,,,,,,,,,,
Fusconaia subrotunda,Longsolid,Wherever found,4,Threatened,Clams,South Carolina,,,,,,,,,,,,,,,,,
Chelonia mydas,Green sea turtle,North Atlantic DPS,4,Threatened,Reptiles,South Carolina,,,,,,,,,,,,,,,,,
Laterallus jamaicensis ssp. jamaicensis,Eastern Black rail,Wherever found,4,Threatened,Birds,South Carolina,,,,,,,,,,,,,,,,,
Charadrius melodus,Piping Plover,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",5,Threatened,Birds,Rhode Island,,,,,,,,,,,,,,,,,
Sterna dougallii dougallii,Roseate tern,Northeast U.S. nesting population,5,Endangered,Birds,Rhode Island,,,,,,,,,,,,,,,,,
Eretmochelys imbricata,Hawksbill sea turtle,Wherever found,4,Endangered,Reptiles,Rhode Island,,,,,,,,,,,,,,,,,
Dermochelys coriacea,Leatherback sea turtle,Wherever found,4,Endangered,Reptiles,Rhode Island,,,,,,,,,,,,,,,,,
Nicrophorus americanus,American burying beetle,"Wherever found, except where listed as an experimental population",2,Threatened,Insects,Rhode Island,,,,,,,,,,,,,,,,,
Isotria medeoloides,Small whorled pogonia,,5,Threatened,Flowering Plants,Rhode Island,,,,,,,,,,,,,,,,,
Agalinis acuta,Sandplain gerardia,Wherever found,5,Endangered,Flowering Plants,Rhode Island,,,,,,,,,,,,,,,,,
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,Rhode Island,,,,,,,,,,,,,,,,,
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,Rhode Island,,,,,,,,,,,,,,,,,
Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals,Pennsylvania,,,,,,,,,,,,,,,,,
Charadrius melodus,Piping Plover,"[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)",3,Endangered,Birds,Pennsylvania,,,,,,,,,,,,,,,,,
Glyptemys muhlenbergii,bog turtle,"Wherever found, except GA, NC, SC, TN, VA",5,Threatened,Reptiles,Pennsylvania,,,,,,,,,,,,,,,,,
Pleurobema clava,Clubshell,Wherever found; Except where listed as Experimental Populations,5,Endangered,Clams,Pennsylvania,,,,,,,,,,,,,,,,,
Alasmidonta heterodon,Dwarf wedgemussel,Wherever found,5,Endangered,Clams,Pennsylvania,,,,,,,,,,,,,,,,,
Epioblasma rangiana,Northern riffleshell,Wherever found,5,Endangered,Clams,Pennsylvania,,,,,,,,,,,,,,,,,
Isotria medeoloides,Small whorled pogonia,,5,Threatened,Flowering Plants,Pennsylvania,,,,,,,,,,,,,,,,,
Scirpus ancistrochaetus,Northeastern bulrush,,5,Endangered,Flowering Plants,Pennsylvania,,,,,,,,,,,,,,,,,
Platanthera leucophaea,Eastern prairie fringed orchid,Wherever found,3,Threatened,Flowering Plants,Pennsylvania,,,,,,,,,,,,,,,,,
Ptilimnium nodosum,Harperella,Wherever found,5,Endangered,Flowering Plants,Pennsylvania,,,,,,,,,,,,,,,,,
Schwalbea americana,American chaffseed,Wherever found,4,Endangered,Flowering Plants,Pennsylvania,,,,,,,,,,,,,,,,,
Quadrula cylindrica cylindrica,Rabbitsfoot,Wherever found,4,Threatened,Clams,Pennsylvania,,,,,,,,,,,,,,,,,
Epioblasma triquetra,Snuffbox mussel,Wherever found,3,Endangered,Clams,Pennsylvania,,,,,,,,,,,,,,,,,
Villosa fabalis,Rayed Bean,Wherever found,3,Endangered,Clams,Pennsylvania,,,,,,,,,,,,,,,,,
Sistrurus catenatus,Eastern Massasauga (=rattlesnake),Wherever found,3,Threatened,Reptiles,Pennsylvania,,,,,,,,,,,,,,,,,
Plethobasus cyphyus,Sheepnose Mussel,Wherever found,3,Endangered,Clams,Pennsylvania,,,,,,,,,,,,,,,,,
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,Pennsylvania,,,,,,,,,,,,,,,,,
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,Pennsylvania,,,,,,,,,,,,,,,,,
Obovaria subrotunda,Round hickorynut,Wherever found,3,Threatened,Clams,Pennsylvania,,,,,,,,,,,,,,,,,
Fusconaia subrotunda,Longsolid,Wherever found,4,Threatened,Clams,Pennsylvania,,,,,,,,,,,,,,,,,
Odocoileus virginianus leucurus,Columbian white-tailed deer,Columbia River DPS,1,Threatened,Mammals,Oregon,,,,,,,,,,,,,,,,,
Canis lupus,Gray wolf,"U.S.A.: All of AL, AR, CA, CO, CT, DE, FL, GA, IA, IN, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NE, NH, NJ, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, and WV; and portions of AZ, NM, OR, UT, and WA. Mexico.",6,Endangered,Mammals,Oregon,,,,,,,,,,,,,,,,,
Pterodroma sandwichensis,Hawaiian petrel,Wherever found,1,Endangered,Birds,Oregon,,,,,,,,,,,,,,,,,
Phoebastria (=Diomedea) albatrus,Short-tailed albatross,Wherever found,7,Endangered,Birds,Oregon,,,,,,,,,,,,,,,,,
Charadrius nivosus nivosus,Western Snowy Plover,"Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)",8,Threatened,Birds,Oregon,,,,,,,,,,,,,,,,,
Strix occidentalis caurina,Northern spotted owl,Wherever found,1,Threatened,Birds,Oregon,,,,,,,,,,,,,,,,,
Brachyramphus marmoratus,Marbled Murrelet,"U.S.A. (CA, OR, WA)",1,Threatened,Birds,Oregon,,,,,,,,,,,,,,,,,
Dermochelys coriacea,Leatherback sea turtle,Wherever found,4,Endangered,Reptiles,Oregon,,,,,,,,,,,,,,,,,
Lepidochelys olivacea,Olive ridley sea turtle,"Wherever found, except when listed as endangered under 50 CFR 224.101",1,Threatened,Reptiles,Oregon,,,,,,,,,,,,,,,,,
Gopherus agassizii,Desert tortoise,"Wherever found, except AZ south and east of Colorado R., and Mexico",8,Threatened,Reptiles,Oregon,,,,,,,,,,,,,,,,,
Oncorhynchus clarkii henshawi,Lahontan cutthroat trout,Wherever found,8,Threatened,Fishes,Oregon,,,,,,,,,,,,,,,,,
Gila bicolor ssp.,Hutton tui chub,Wherever found,1,Threatened,Fishes,Oregon,,,,,,,,,,,,,,,,,
Deltistes luxatus,Lost River sucker,Wherever found,8,Endangered,Fishes,Oregon,,,,,,,,,,,,,,,,,
Chasmistes brevirostris,Shortnose Sucker,Wherever found,8,Endangered,Fishes,Oregon,,,,,,,,,,,,,,,,,
Catostomus warnerensis,Warner sucker,Wherever found,1,Threatened,Fishes,Oregon,,,,,,,,,,,,,,,,,
Salvelinus confluentus,Bull Trout,"U.S.A., coterminous, lower 48 states",1,Threatened,Fishes,Oregon,,,,,,,,,,,,,,,,,
Eucyclogobius newberryi,Tidewater goby,Wherever found,8,Endangered,Fishes,Oregon,,,,,,,,,,,,,,,,,
Physella natricina,Snake River physa snail,Wherever found,1,Endangered,Snails,Oregon,,,,,,,,,,,,,,,,,
Speyeria zerene hippolyta,Oregon silverspot butterfly,Wherever found,1,Threatened,Insects,Oregon,,,,,,,,,,,,,,,,,
Icaricia icarioides fenderi,Fender's blue butterfly,Wherever found,1,Threatened,Insects,Oregon,,,,,,,,,,,,,,,,,
Branchinecta lynchi,Vernal pool fairy shrimp,Wherever found,8,Threatened,Crustaceans,Oregon,,,,,,,,,,,,,,,,,
Lepidurus packardi,Vernal pool tadpole shrimp,Wherever found,8,Endangered,Crustaceans,Oregon,,,,,,,,,,,,,,,,,
Fritillaria gentneri,Gentner's Fritillary,Wherever found,1,Endangered,Flowering Plants,Oregon,,,,,,,,,,,,,,,,,
Orcuttia tenuis,Slender Orcutt grass,Wherever found,8,Threatened,Flowering Plants,Oregon,,,,,,,,,,,,,,,,,
Plagiobothrys hirtus,rough popcornflower,Wherever found,1,Endangered,Flowering Plants,Oregon,,,,,,,,,,,,,,,,,
Silene spaldingii,Spalding's Catchfly,Wherever found,1,Threatened,Flowering Plants,Oregon,,,,,,,,,,,,,,,,,
Arabis macdonaldiana,McDonald's rock-cress,Wherever found,8,Endangered,Flowering Plants,Oregon,,,,,,,,,,,,,,,,,
Lilium occidentale,Western lily,Wherever found,8,Endangered,Flowering Plants,Oregon,,,,,,,,,,,,,,,,,
Mirabilis macfarlanei,MacFarlane's four-o'clock,Wherever found,1,Threatened,Flowering Plants,Oregon,,,,,,,,,,,,,,,,,
Stephanomeria malheurensis,Malheur wire-lettuce,Wherever found,1,Endangered,Flowering Plants,Oregon,,,,,,,,,,,,,,,,,
Astragalus applegatei,Applegate's milk-vetch,Wherever found,8,Endangered,Flowering Plants,Oregon,,,,,,,,,,,,,,,,,
Thelypodium howellii ssp. spectabilis,Howell''s spectacular thelypody,Wherever found,1,Threatened,Flowering Plants,Oregon,,,,,,,,,,,,,,,,,
Lupinus sulphureus ssp. kincaidii,Kincaid's Lupine,Wherever found,1,Threatened,Flowering Plants,Oregon,,,,,,,,,,,,,,,,,
Erigeron decumbens,Willamette daisy,Wherever found,1,Endangered,Flowering Plants,Oregon,,,,,,,,,,,,,,,,,
Limnanthes pumila ssp. grandiflora,Large-flowered woolly meadowfoam,Wherever found,1,Endangered,Flowering Plants,Oregon,,,,,,,,,,,,,,,,,
Lomatium cookii,Cook's lomatium,Wherever found,1,Endangered,Flowering Plants,Oregon,,,,,,,,,,,,,,,,,
Pinus albicaulis,Whitebark pine,Wherever found,6,Threatened,Conifers and Cycads,Oregon,,,,,,,,,,,,,,,,,
Lepidium papilliferum,Slickspot peppergrass,,1,Threatened,Flowering Plants,Oregon,,,,,,,,,,,,,,,,,
Gulo gulo luscus,North American wolverine,Wherever found,6,Threatened,Mammals,Oregon,,,,,,,,,,,,,,,,,
Rana pretiosa,Oregon spotted frog,Wherever found,1,Threatened,Amphibians,Oregon,,,,,,,,,,,,,,,,,
Eremophila alpestris strigata,Streaked Horned lark,Wherever found,1,Threatened,Birds,Oregon,,,,,,,,,,,,,,,,,
Bombus franklini,Franklin's bumble bee,Wherever found,1,Endangered,Insects,Oregon,,,,,,,,,,,,,,,,,
