Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  ,Group,State,,,,,,,,,,,,,,,,,
Fusconaia subrotunda,Longsolid,Wherever found,4,Threatened,Clams,West Virginia,,,,,,,,,,,,,,,,,
Cambarus veteranus,Guyandotte River crayfish,Wherever found,5,Endangered,Crustaceans,West Virginia,,,,,,,,,,,,,,,,,
Ursus arctos horribilis,Grizzly bear,"U.S.A., conterminous (lower 48) States, except where listed as an experimental population",6,Threatened,Mammals,Washington,,,,,,,,,,,,,,,,,
Odocoileus virginianus leucurus,Columbian white-tailed deer,Columbia River DPS,1,Threatened,Mammals,Washington,,,,,,,,,,,,,,,,,
Canis lupus,Gray wolf,"U.S.A.: All of AL, AR, CA, CO, CT, DE, FL, GA, IA, IN, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NE, NH, NJ, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, and WV; and portions of AZ, NM, OR, UT, and WA. Mexico.",6,Endangered,Mammals,Washington,,,,,,,,,,,,,,,,,
Lynx canadensis,Canada Lynx,Wherever Found in Contiguous U.S.,6,Threatened,Mammals,Washington,,,,,,,,,,,,,,,,,
Rangifer tarandus ssp. caribou,Southern Mountain Caribou DPS,Southern Mountain DPS,1,Endangered,Mammals,Washington,,,,,,,,,,,,,,,,,
Pterodroma sandwichensis,Hawaiian petrel,Wherever found,1,Endangered,Birds,Washington,,,,,,,,,,,,,,,,,
Phoebastria (=Diomedea) albatrus,Short-tailed albatross,Wherever found,7,Endangered,Birds,Washington,,,,,,,,,,,,,,,,,
Charadrius nivosus nivosus,Western Snowy Plover,"Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)",8,Threatened,Birds,Washington,,,,,,,,,,,,,,,,,
Strix occidentalis caurina,Northern spotted owl,Wherever found,1,Threatened,Birds,Washington,,,,,,,,,,,,,,,,,
Brachyramphus marmoratus,Marbled Murrelet,"U.S.A. (CA, OR, WA)",1,Threatened,Birds,Washington,,,,,,,,,,,,,,,,,
Dermochelys coriacea,Leatherback sea turtle,Wherever found,4,Endangered,Reptiles,Washington,,,,,,,,,,,,,,,,,
Salvelinus confluentus,Bull Trout,"U.S.A., coterminous, lower 48 states",1,Threatened,Fishes,Washington,,,,,,,,,,,,,,,,,
Hackelia venusta,Showy stickseed,Wherever found,1,Endangered,Flowering Plants,Washington,,,,,,,,,,,,,,,,,
Sidalcea oregana var. calva,Wenatchee Mountains checkermallow,Wherever found,1,Endangered,Flowering Plants,Washington,,,,,,,,,,,,,,,,,
Silene spaldingii,Spalding's Catchfly,Wherever found,1,Threatened,Flowering Plants,Washington,,,,,,,,,,,,,,,,,
Arenaria paludicola,Marsh Sandwort,Wherever found,8,Endangered,Flowering Plants,Washington,,,,,,,,,,,,,,,,,
Spiranthes diluvialis,Ute ladies'-tresses,Wherever found,6,Threatened,Flowering Plants,Washington,,,,,,,,,,,,,,,,,
Lupinus sulphureus ssp. kincaidii,Kincaid's Lupine,Wherever found,1,Threatened,Flowering Plants,Washington,,,,,,,,,,,,,,,,,
Brachylagus idahoensis,Pygmy Rabbit,Columbia Basin DPS,1,Endangered,Mammals,Washington,,,,,,,,,,,,,,,,,
Pinus albicaulis,Whitebark pine,Wherever found,6,Threatened,Conifers and Cycads,Washington,,,,,,,,,,,,,,,,,
Thomomys mazama glacialis,Roy Prairie pocket gopher,Wherever found,1,Threatened,Mammals,Washington,,,,,,,,,,,,,,,,,
